,Unnamed: 0,area_m2,floor,num_floors,num_rooms,author,housing_fund,children,pets,y,balcony,condition,bathroom,region,city,street_name,zone_type,dist_to_center
0,0,185.0,4,5,5,agency,secondary,yes,no,1200.0,0,modern,2,centru,Chisinau,Alexandr,central,3.1319178146844364
1,1,55.0,4,9,1,agency,primary,yes,no,420.0,0,modern,1,botanica,Chisinau,Grenoble,central,3.68421559143802
2,2,53.0,2,9,2,private,secondary,yes,no,375.0,2,individual,1,botanica,Chisinau,Costiujeni,central,6.267271231904048
3,3,55.0,6,9,1,private,primary,yes,no,350.0,0,modern,1,centru,Chisinau,Albisoara,periphery,6.0
4,4,40.0,9,10,1,private,primary,yes,no,400.0,0,modern,1,centru,Chisinau,Nicolae,central,3.262732774666745
5,5,40.0,7,9,1,private,secondary,yes,no,450.0,2,modern,2,centru,Chisinau,Ion,central,4.860874124520007
6,6,25.0,4,5,1,private,secondary,no,no,220.0,0,modern,1,centru,Chisinau,Botanica,central,5.812202525238274
7,7,35.0,4,8,1,agency,primary,yes,no,350.0,0,modern,1,codru,Chisinau,Valea,periphery,3.133096583962342
8,8,50.0,14,16,2,private,secondary,no,no,250.0,0,individual,1,botanica,Chisinau,Nikolai,central,3.022515128105024
9,9,105.0,2,5,2,agency,primary,yes,no,785.0,2,modern,1,buiucani,Chisinau,Nicolae,central,3.262732774666745
10,10,140.0,3,9,3,agency,primary,yes,no,1200.0,2,modern,2,centru,Chisinau,Mihai,central,2.6940681841953014
11,11,77.0,5,10,2,agency,primary,yes,yes,480.0,0,modern,1,botanica,Chisinau,Valea,central,3.133096583962342
12,12,56.0,6,10,2,private,primary,yes,no,360.0,0,modern,1,buiucani,Chisinau,Lev Tolstoi,central,1.82369710266694
13,13,63.0,9,13,1,agency,primary,yes,no,500.0,1,modern,1,centru,Chisinau,Melestiu,central,1.3829235460311171
14,14,54.0,4,5,2,private,secondary,yes,no,250.0,2,individual,1,telecentru,Chisinau,Columna,periphery,4.434859094165724
15,15,70.0,5,5,3,private,secondary,yes,no,200.0,1,individual,1,centru,Chisinau,Mihai,central,2.6940681841953014
16,16,52.0,2,9,2,agency,secondary,yes,no,310.0,0,individual,2,buiucani,Chisinau,Nicolae,central,3.262732774666745
17,17,41.0,9,15,1,agency,primary,yes,no,550.0,0,modern,1,centru,Chisinau,Hristo,central,2.68560341378761
18,18,55.0,4,12,2,agency,secondary,yes,no,500.0,1,individual,1,centru,Chisinau,Ismail,central,1.5491726324305075
19,19,48.0,2,10,2,private,secondary,yes,no,400.0,1,modern,1,centru,Chisinau,Mihai,central,2.6940681841953014
20,20,51.0,4,12,2,agency,primary,yes,no,600.0,1,modern,1,centru,Chisinau,Trandafirilor,central,2.258308061229285
21,21,30.0,3,3,1,private,primary,no,no,220.0,0,modern,1,botanica,Chisinau,Liuba,central,0.6824360799508673
22,22,120.0,6,10,3,agency,primary,yes,yes,850.0,0,individual,2,centru,Chisinau,Nicolae,central,3.262732774666745
23,23,53.0,4,12,2,private,primary,yes,no,550.0,2,individual,1,centru,Chisinau,Nicolae,central,3.262732774666745
24,24,160.07957458496094,2,-1,1,private,primary,yes,no,1500.0,0,modern,1,centru,Chisinau,Pietii,central,6.0
25,25,30.0,3,5,1,private,primary,yes,yes,200.0,0,modern,1,centru,Chisinau,Arborilor,central,1.9993832572276864
26,26,73.0,1,4,2,private,primary,no,yes,1500.0,2,modern,1,centru,Chisinau,Nicolae,central,3.262732774666745
27,27,37.0,5,11,1,private,primary,no,no,400.0,1,modern,1,centru,Chisinau,Albisoara,central,6.0
28,28,65.0,1,11,1,private,primary,yes,no,300.0,1,modern,1,buiucani,Chisinau,Mihail,central,2.99590750748185
29,29,58.0,7,12,2,private,secondary,yes,no,280.0,1,modern,1,botanica,Chisinau,Gheorghe,central,1.699888915322141
30,30,60.0,9,10,2,private,primary,yes,no,535.0,1,modern,1,centru,Chisinau,Ciuflea,central,1.237855815371132
31,31,40.0,8,10,1,private,primary,yes,no,350.0,0,modern,1,ciocana,Chisinau,Calea,central,2.563872447853333
32,32,40.0,1,-1,1,private,primary,yes,no,230.0,1,individual,1,centru,Chisinau,Valea,central,3.133096583962342
33,33,80.0,7,10,2,private,primary,yes,no,500.0,2,modern,1,centru,Chisinau,Anestiade,central,1.1781448223632147
34,34,44.0,3,10,1,private,primary,yes,no,300.0,0,modern,1,centru,Chisinau,Nicolae,central,3.262732774666745
35,35,28.0,1,9,0,private,secondary,yes,no,200.0,0,modern,1,botanica,Chisinau,Iulius,central,0.3079856382109781
36,36,50.0,5,10,1,private,primary,yes,no,800.0,0,modern,1,botanica,Chisinau,Vasile,central,4.693246145072489
37,37,81.0,7,11,2,private,primary,yes,no,850.0,0,modern,1,botanica,Chisinau,Gradina,central,4.335671694621204
38,38,110.0,3,8,2,private,primary,yes,no,1500.0,0,individual,1,centru,Chisinau,Pan,central,3.76921531566265
39,39,62.0,2,14,2,private,primary,yes,no,600.0,0,modern,1,centru,Chisinau,Carierei,central,3.7179076835271134
40,40,51.0,3,9,1,agency,primary,yes,no,480.0,0,modern,1,centru,Chisinau,Avram,central,1.5145945315405118
41,41,160.0,7,9,2,agency,primary,yes,no,1000.0,0,modern,2,centru,Chisinau,Alexandr,central,3.1319178146844364
42,42,45.0,2,12,1,agency,primary,yes,no,400.0,1,modern,1,botanica,Chisinau,Gradina,central,4.335671694621204
43,43,55.48638153076172,2,-1,1,private,secondary,no,no,200.0,0,modern,1,centru,Chisinau,Independentei,central,3.473231882894152
44,44,100.0,2,2,3,private,secondary,yes,yes,900.0,1,modern,1,centru,Chisinau,Ismail,central,1.5491726324305075
45,45,78.0,1,4,3,agency,primary,yes,yes,780.0,0,modern,1,rascani,Chisinau,Zimbrului,central,2.8139533523316853
46,46,61.0,6,10,2,agency,primary,yes,no,580.0,0,modern,1,botanica,Chisinau,Ion,central,4.860874124520007
47,47,72.0,5,6,3,agency,secondary,no,no,350.0,1,individual,2,telecentru,Chisinau,Pietrarilor,periphery,4.726595494546069
48,48,99.0,1,4,3,agency,primary,yes,yes,990.0,0,modern,1,rascani,Chisinau,Zimbrului,central,2.8139533523316853
49,49,20.0,1,5,1,private,secondary,yes,no,260.0,0,modern,1,ciocana,Chisinau,Maria,central,3.2023113943454087
50,50,65.0,3,9,2,agency,primary,yes,no,500.0,1,modern,1,centru,Chisinau,Armeneasca,central,2.7215158920263494
51,51,37.0,9,12,1,private,secondary,yes,no,350.0,1,individual,1,centru,Chisinau,Albisoara,central,6.0
52,52,47.0,1,11,1,private,primary,yes,no,550.0,1,modern,1,centru,Chisinau,Nicolae,central,3.262732774666745
53,53,55.0,7,11,2,private,primary,yes,no,750.0,0,individual,1,centru,Chisinau,Independentei,central,3.473231882894152
54,54,78.0,1,4,3,agency,primary,yes,yes,200.0,0,modern,1,rascani,Chisinau,Zimbrului,central,2.8139533523316853
55,55,55.0,2,10,2,agency,primary,yes,no,450.0,1,modern,1,ciocana,Chisinau,Nicolae,central,3.262732774666745
56,56,37.0,5,5,0,private,secondary,yes,no,200.0,0,modern,1,veche,Chisinau,Ghioceilor,central,5.169326006125034
57,57,64.0,1,4,2,agency,primary,yes,yes,200.0,0,modern,1,rascani,Chisinau,Zimbrului,central,2.8139533523316853
58,58,58.0,6,10,1,private,primary,yes,yes,400.0,1,modern,1,buiucani,Chisinau,Nicolae,central,3.262732774666745
59,59,70.0,5,10,2,agency,primary,yes,no,400.0,0,modern,1,telecentru,Chisinau,Gheorghe,periphery,1.699888915322141
60,60,112.0,2,7,3,agency,primary,no,no,1400.0,0,modern,2,centru,Chisinau,Alexei,central,2.434757525188025
61,61,80.0,5,14,3,agency,primary,no,no,1500.0,0,modern,2,centru,Chisinau,Columna,central,4.434859094165724
62,62,127.0,4,7,3,agency,primary,no,no,1500.0,0,modern,2,centru,Chisinau,Alexei,central,2.434757525188025
63,63,87.0,9,11,3,agency,primary,no,no,600.0,1,modern,1,telecentru,Chisinau,Grenoble,periphery,3.68421559143802
64,64,106.0,6,9,3,agency,primary,no,no,1100.0,1,modern,2,centru,Chisinau,Alexandru,central,3.2023113943454087
65,65,50.0,6,10,1,agency,primary,no,no,600.0,0,modern,1,rascani,Chisinau,Bogdan,central,3.924482926351163
66,66,55.0,12,12,2,agency,primary,yes,no,400.0,0,modern,1,botanica,Chisinau,Mihai,central,2.6940681841953014
67,67,53.0,2,9,2,private,secondary,yes,no,300.0,1,modern,1,rascani,Chisinau,Cetatea,central,1.5473659163268751
68,68,115.0,1,1,2,agency,primary,yes,yes,1200.0,0,modern,1,centru,Chisinau,Melestiu,central,1.3829235460311171
69,69,55.0,7,12,1,agency,primary,yes,no,600.0,0,modern,1,centru,Chisinau,Ion,central,4.860874124520007
70,70,38.0,1,4,1,agency,primary,yes,yes,200.0,0,modern,1,rascani,Chisinau,Zimbrului,central,2.8139533523316853
71,71,117.0,4,7,3,agency,primary,yes,no,1000.0,0,modern,1,telecentru,Chisinau,Ciocarliei,periphery,8.932235348540182
72,72,96.0,10,10,2,private,primary,yes,no,700.0,0,modern,1,rascani,Chisinau,Bogdan,central,3.924482926351163
73,73,18.0,2,2,0,private,secondary,no,no,200.0,0,modern,1,rascani,Chisinau,Cartusa,central,8.856857067886851
74,74,74.0,4,6,2,private,primary,no,no,400.0,0,modern,1,stauceni,Chisinau,Mihail,periphery,2.99590750748185
75,75,40.0,5,9,1,private,primary,yes,no,500.0,1,modern,1,buiucani,Chisinau,Alexandru,central,3.2023113943454087
76,76,30.0,3,3,1,private,primary,no,no,220.0,0,modern,1,botanica,Chisinau,Liuba,central,0.6824360799508673
77,77,46.0,5,16,1,agency,primary,no,no,380.0,1,modern,1,botanica,Chisinau,Nicolae,central,3.262732774666745
78,78,70.0,2,11,2,private,primary,yes,no,380.0,1,individual,1,rascani,Chisinau,Studentilor,central,5.534573971455514
79,79,105.0,2,5,3,private,primary,yes,no,785.0,2,individual,1,buiucani,Chisinau,Decembristilor,central,3.4392938966964697
80,80,83.0,5,14,2,private,primary,yes,no,1000.0,0,modern,1,centru,Chisinau,Nicolae,central,3.262732774666745
81,81,44.0,2,10,1,private,primary,no,no,450.0,0,modern,1,rascani,Chisinau,Pietrarilor,central,4.726595494546069
82,82,71.27825164794922,2,-1,1,private,primary,no,no,1500.0,0,modern,1,centru,Chisinau,Sarmizegetusa,central,2.485127898535376
83,83,55.48638153076172,1,-1,1,private,primary,yes,no,1500.0,0,individual,1,centru,Chisinau,Vasile,central,4.693246145072489
84,84,157.14195251464844,2,-1,1,private,primary,yes,no,1500.0,0,modern,1,centru,Chisinau,Cartusa,central,8.856857067886851
85,85,35.0,5,5,1,private,secondary,no,yes,350.0,0,individual,1,centru,Chisinau,Mitropolit,central,3.022515128105024
86,86,35.0,1,5,1,private,secondary,yes,no,235.0,1,modern,1,buiucani,Chisinau,Cetatea,central,1.5473659163268751
87,87,64.0,5,9,2,private,primary,yes,no,680.0,1,modern,1,botanica,Chisinau,Pan,central,3.76921531566265
88,88,65.0,2,9,2,private,primary,yes,no,600.0,1,modern,1,ciocana,Chisinau,Alecu,central,3.7573326342791855
89,89,50.0,6,10,1,agency,primary,yes,no,500.0,0,modern,1,centru,Chisinau,Melestiu,central,1.3829235460311171
90,90,140.0,2,6,3,agency,primary,yes,no,1500.0,1,modern,1,centru,Chisinau,Mihai,central,2.6940681841953014
91,91,44.0,10,15,1,private,primary,yes,no,450.0,0,individual,1,centru,Chisinau,Nicolae,central,3.262732774666745
92,92,73.0,9,10,3,private,secondary,yes,no,350.0,0,modern,1,botanica,Chisinau,Diminetii,central,0.8725915698256836
93,93,38.0,9,10,1,agency,primary,no,no,295.0,0,modern,1,telecentru,Chisinau,Ialoveni,periphery,6.501295048909415
94,94,80.0,10,12,2,agency,primary,yes,yes,500.0,1,modern,1,telecentru,Chisinau,Drumul,periphery,5.337144302839829
95,95,46.0,4,9,1,agency,primary,yes,no,650.0,0,modern,1,botanica,Chisinau,Lev Tolstoi,central,1.82369710266694
96,96,60.0,5,10,2,agency,primary,yes,no,900.0,1,modern,1,centru,Chisinau,Pietrariei,central,8.129403523963532
97,97,54.0,3,16,2,private,secondary,yes,no,450.0,0,modern,1,centru,Chisinau,Melestiu,central,1.3829235460311171
98,98,40.0,2,9,1,agency,secondary,no,no,450.0,1,individual,1,centru,Chisinau,Lev Tolstoi,central,1.82369710266694
99,99,45.0,11,12,1,agency,primary,yes,yes,600.0,1,modern,1,centru,Chisinau,Lev Tolstoi,central,1.82369710266694
100,100,33.0,4,5,1,private,secondary,yes,no,350.0,1,modern,1,buiucani,Chisinau,Valea,central,3.133096583962342
101,101,40.0,17,19,1,agency,secondary,yes,no,450.0,1,modern,1,rascani,Chisinau,Andrei,central,3.9691677554186366
102,102,130.0,6,9,3,agency,primary,yes,no,1500.0,1,modern,2,centru,Chisinau,Alexei,central,2.434757525188025
103,103,75.0,3,11,2,agency,primary,yes,yes,400.0,0,modern,1,centru,Chisinau,Valea,central,3.133096583962342
104,104,67.0,2,4,2,agency,primary,yes,no,1500.0,0,individual,1,centru,Chisinau,Vasile,central,4.693246145072489
105,105,52.0,2,9,2,private,primary,yes,no,650.0,1,modern,1,botanica,Chisinau,Studentilor,central,5.534573971455514
106,106,46.0,5,13,1,agency,primary,no,no,700.0,1,modern,1,centru,Chisinau,Nicolae,central,3.262732774666745
107,107,60.0,8,9,2,agency,secondary,yes,no,300.0,0,modern,1,ciocana,Chisinau,Nicolae,central,3.262732774666745
108,108,150.0,10,14,3,agency,primary,yes,yes,899.0,0,modern,2,botanica,Chisinau,Lev Tolstoi,central,1.82369710266694
109,109,47.0,10,11,1,private,primary,no,no,350.0,0,individual,1,botanica,Chisinau,Bogdan,central,3.924482926351163
110,110,50.0,4,4,1,private,primary,yes,no,250.0,1,individual,1,ciocana,Chisinau,Pietii,central,6.0
111,111,35.0,7,9,1,agency,secondary,yes,no,260.0,0,modern,1,botanica,Chisinau,Mihai,central,2.6940681841953014
112,112,60.0,2,11,1,agency,primary,yes,no,350.0,0,modern,1,buiucani,Chisinau,Onisifor,central,3.2746566782449595
113,113,76.5087661743164,2,-1,1,private,secondary,no,no,1500.0,0,modern,1,botanica,Chisinau,Bucuresti,central,2.845910853208243
114,114,40.0,2,2,1,agency,secondary,yes,no,203.0,0,modern,1,veche,Chisinau,Victor,central,5.447812262379431
115,115,70.0,6,9,3,agency,secondary,yes,no,350.0,0,modern,1,botanica,Chisinau,Botanica,central,5.812202525238274
116,116,38.0,1,10,1,agency,primary,yes,no,300.0,0,modern,1,durlesti,Chisinau,Cartusa,periphery,8.856857067886851
117,117,56.0,4,9,2,agency,secondary,yes,no,310.0,0,modern,1,centru,Chisinau,Albisoara,central,6.0
118,118,72.0,1,9,0,private,secondary,no,no,200.0,1,modern,2,buiucani,Chisinau,Onisifor,central,3.2746566782449595
119,119,84.0,7,9,3,private,primary,yes,no,1400.0,0,individual,1,botanica,Chisinau,Trandafirilor,central,2.258308061229285
120,120,46.0,5,13,1,agency,primary,no,no,650.0,1,modern,1,centru,Chisinau,Nicolae,central,3.262732774666745
121,121,37.0,2,16,1,private,secondary,yes,no,300.0,1,modern,1,rascani,Chisinau,Academician,central,5.999330177155597
122,122,40.0,4,15,1,private,primary,no,no,450.0,1,modern,1,centru,Chisinau,Nicolae,central,3.262732774666745
123,123,84.0,7,9,2,private,primary,yes,no,1500.0,0,modern,1,botanica,Chisinau,Trandafirilor,central,2.258308061229285
124,124,57.0,11,15,1,private,primary,yes,no,550.0,2,modern,1,rascani,Chisinau,Mitropolit,central,3.022515128105024
125,125,45.0,5,5,2,private,secondary,no,no,200.0,1,individual,1,telecentru,Chisinau,Gheorghe,periphery,1.699888915322141
126,126,56.0,9,10,1,private,primary,yes,no,400.0,1,modern,1,botanica,Chisinau,Grenoble,central,3.68421559143802
127,127,44.0,1,5,2,private,secondary,yes,no,260.0,0,modern,1,botanica,Chisinau,Hristo,central,2.68560341378761
128,128,40.0,3,16,2,private,secondary,yes,yes,250.0,0,individual,1,buiucani,Chisinau,Ismail,central,1.5491726324305075
129,129,16.0,1,2,1,private,primary,no,yes,200.0,0,modern,1,rascani,Chisinau,Alexandr,central,3.1319178146844364
130,130,40.0,4,9,1,private,secondary,no,no,280.0,1,modern,1,botanica,Chisinau,Gheorghe,central,1.699888915322141
131,131,64.0,9,9,2,private,secondary,yes,no,220.0,1,individual,1,buiucani,Chisinau,Mihail,central,2.99590750748185
132,132,47.0,7,12,2,private,primary,no,no,500.0,0,modern,1,rascani,Chisinau,Alexandr,central,3.1319178146844364
133,133,35.0,3,5,1,private,secondary,yes,no,200.0,0,modern,1,centru,Chisinau,Mitropolit,central,3.022515128105024
134,134,76.0,1,2,2,agency,primary,yes,yes,760.0,0,modern,1,rascani,Chisinau,Zimbrului,central,2.8139533523316853
135,135,78.0,1,2,2,agency,primary,yes,yes,780.0,0,modern,1,rascani,Chisinau,Zimbrului,central,2.8139533523316853
136,136,123.0,6,10,3,agency,primary,yes,yes,650.0,1,modern,2,ciocana,Chisinau,Mihail,central,2.99590750748185
137,137,45.0,11,15,1,agency,secondary,no,no,650.0,0,modern,1,centru,Chisinau,Nicolae,central,3.262732774666745
